repo,url,stars,language,archived,fork,pushedAt,connectedToCloud,cloudStatus,nxCloudId,usesLerna
storybookjs/storybook,https://github.com/storybookjs/storybook,90452,TypeScript,false,false,2026-06-27T11:57:12Z,true,nxCloudId,6929fbef73e98d8094d2a343,false
grafana/grafana,https://github.com/grafana/grafana,75086,TypeScript,false,false,2026-06-27T13:05:06Z,false,not-connected,,true
strapi/strapi,https://github.com/strapi/strapi,72549,TypeScript,false,false,2026-06-27T15:00:04Z,false,not-connected,,true
TryGhost/Ghost,https://github.com/TryGhost/Ghost,54175,JavaScript,false,false,2026-06-27T14:58:58Z,true,nxCloudId,6a146249a88a39d9ffa5046c,false
twentyhq/twenty,https://github.com/twentyhq/twenty,51797,TypeScript,false,false,2026-06-27T16:53:33Z,false,not-connected,,false
cypress-io/cypress,https://github.com/cypress-io/cypress,50422,TypeScript,false,false,2026-06-27T14:33:17Z,true,legacy-accessToken,,true
TanStack/query,https://github.com/TanStack/query,49842,TypeScript,false,false,2026-06-27T16:58:21Z,true,nxCloudId,6412c827e6da5d7b4a0b1fe3,false
novuhq/novu,https://github.com/novuhq/novu,39213,TypeScript,false,false,2026-06-27T15:11:24Z,true,legacy-accessToken,61d98cffc3343830d132e541,false
lerna/lerna,https://github.com/lerna/lerna,36059,TypeScript,false,false,2026-06-24T12:59:25Z,true,legacy-accessToken,,true
CopilotKit/CopilotKit,https://github.com/CopilotKit/CopilotKit,35564,TypeScript,false,false,2026-06-27T06:40:27Z,false,not-connected,,false
refinedev/refine,https://github.com/refinedev/refine,34966,TypeScript,false,false,2026-06-05T15:19:38Z,true,legacy-accessToken,,true
ReactiveX/rxjs,https://github.com/ReactiveX/rxjs,31686,TypeScript,false,false,2025-02-23T20:54:32Z,true,legacy-accessToken,,false
sequelize/sequelize,https://github.com/sequelize/sequelize,30359,TypeScript,false,false,2026-06-20T14:39:51Z,false,not-connected,,true
nrwl/nx,https://github.com/nrwl/nx,29028,TypeScript,false,false,2026-06-27T14:58:02Z,true,nxCloudId,62d013ea0852fe0a2df74438,false
TanStack/table,https://github.com/TanStack/table,28134,TypeScript,false,false,2026-06-27T01:43:30Z,true,nxCloudId,6435ee4cd7387c45c0e4bf4c,false
Budibase/budibase,https://github.com/Budibase/budibase,28074,TypeScript,false,false,2026-06-26T19:10:43Z,false,not-connected,,true
BabylonJS/Babylon.js,https://github.com/BabylonJS/Babylon.js,25702,TypeScript,false,false,2026-06-27T12:24:11Z,false,not-connected,,true
NativeScript/NativeScript,https://github.com/NativeScript/NativeScript,25547,TypeScript,false,false,2026-06-26T21:42:54Z,true,nxCloudId,680a89d49c76d63ce41eb397,false
palantir/blueprint,https://github.com/palantir/blueprint,21862,TypeScript,false,false,2026-06-26T23:47:18Z,false,not-connected,,true
docmost/docmost,https://github.com/docmost/docmost,20753,TypeScript,false,false,2026-06-26T23:49:45Z,false,not-connected,,false
microsoft/fluentui,https://github.com/microsoft/fluentui,20072,TypeScript,false,false,2026-06-26T22:58:49Z,false,not-connected,,false
decaporg/decap-cms,https://github.com/decaporg/decap-cms,19177,JavaScript,false,false,2026-06-23T19:51:54Z,false,not-connected,,true
oblador/react-native-vector-icons,https://github.com/oblador/react-native-vector-icons,17887,TypeScript,false,false,2026-05-26T17:26:14Z,false,not-connected,,false
redwoodjs/graphql,https://github.com/redwoodjs/graphql,17617,TypeScript,false,false,2026-06-24T17:14:57Z,true,legacy-accessToken,,true
typescript-eslint/typescript-eslint,https://github.com/typescript-eslint/typescript-eslint,16286,TypeScript,false,false,2026-06-26T00:27:59Z,true,nxCloudId,60b38765e74d975e3faae5ad,false
tinymce/tinymce,https://github.com/tinymce/tinymce,16227,TypeScript,false,false,2026-06-26T14:25:19Z,false,not-connected,,true
amplication/amplication,https://github.com/amplication/amplication,16013,TypeScript,false,false,2026-06-22T12:33:35Z,true,legacy-accessToken,,false
ionic-team/capacitor,https://github.com/ionic-team/capacitor,15965,TypeScript,false,false,2026-06-24T16:18:43Z,false,not-connected,,true
rjsf-team/react-jsonschema-form,https://github.com/rjsf-team/react-jsonschema-form,15813,TypeScript,false,false,2026-06-26T20:53:53Z,false,not-connected,,false
infinitered/reactotron,https://github.com/infinitered/reactotron,15572,TypeScript,false,false,2026-05-28T22:35:18Z,false,not-connected,,false
ag-grid/ag-grid,https://github.com/ag-grid/ag-grid,15422,TypeScript,false,false,2026-06-26T17:56:22Z,false,not-connected,,false
apitable/apitable,https://github.com/apitable/apitable,15396,TypeScript,false,false,2025-10-30T03:34:31Z,false,not-connected,,false
TanStack/router,https://github.com/TanStack/router,14704,TypeScript,false,false,2026-06-27T10:36:04Z,true,nxCloudId,6442f7de8226a6291646a813,false
ag-ui-protocol/ag-ui,https://github.com/ag-ui-protocol/ag-ui,14450,Python,false,false,2026-06-26T15:20:57Z,false,not-connected,,false
zitadel/zitadel,https://github.com/zitadel/zitadel,14209,Go,false,false,2026-06-26T09:11:38Z,true,nxCloudId,688a9021d48dce0efe0f119f,false
